load_id,date,pickup,delivery,equipment,distance,posted_rate,predicted_rate,absolute_error
TR-040097,2025-09-11,Baltimore,Oklahoma City,Reefer,1760.3,20132.37,3822.0068883104823,16310.363111689516
TR-040172,2025-09-11,Montgomery,Fresno,Dry Van,2283.4,20361.89,4427.0009443415,15934.8890556585
TR-043540,2025-10-03,Milwaukee,Bakersfield,Dry Van,1893.0,17514.11,3526.506341274675,13987.603658725326
TR-046214,2025-10-20,Columbia,Tucson,Flatbed,2023.4,17893.17,4130.806897564072,13762.363102435927
TR-047299,2025-10-27,Boston,Bakersfield,Reefer,2979.1,19110.3,5846.668196445516,13263.631803554483
TR-040323,2025-09-12,Montgomery,El Paso,Dry Van,1639.9,14949.25,3287.7254349047435,11661.524565095257
TR-046517,2025-10-22,Toledo,Albuquerque,Reefer,1684.3,14784.38,3558.9481424511755,11225.431857548823
TR-042882,2025-09-29,San Antonio,Detroit,Dry Van,1460.5,13503.63,2882.7502621105277,10620.87973788947
TR-046367,2025-10-21,Bakersfield,Columbia,Dry Van,2251.9,14403.14,4180.115017324256,10223.024982675743
TR-044268,2025-10-08,Albany,Albuquerque,Dry Van,2492.6,14425.42,4227.842242378804,10197.577757621195
TR-047537,2025-10-29,Los Angeles,Richmond,Dry Van,2782.4,15003.55,4839.500135402042,10164.049864597957
TR-042150,2025-09-24,Grand Rapids,Lubbock,Dry Van,1415.5,13026.22,2929.0221355485946,10097.197864451406
TR-043303,2025-10-01,Atlanta,Phoenix,Reefer,2083.1,13894.55,4346.13232813929,9548.417671860709
TR-043385,2025-10-02,Lexington,Lubbock,Dry Van,1187.0,11696.44,2402.1552324261575,9294.284767573843
TR-042736,2025-09-28,Jacksonville,Tucson,Dry Van,1943.0,12797.54,3654.3806201207467,9143.159379879255
TR-039363,2025-09-06,Tulsa,Bakersfield,Dry Van,1477.7,11684.7,2879.6031216377473,8805.096878362254
TR-047587,2025-10-29,Corpus Christi,Las Vegas,Flatbed,1383.3,11596.28,2830.7538822773145,8765.526117722686
TR-040159,2025-09-11,San Francisco,Shreveport,Dry Van,1950.8,12240.81,3782.348769388344,8458.461230611656
TR-044345,2025-10-08,Lexington,Albany,Dry Van,1040.0,10566.25,2159.957797291336,8406.292202708664
TR-043887,2025-10-05,Shreveport,Baltimore,Reefer,1348.4,11052.72,2925.2281320970988,8127.491867902901
TR-038772,2025-09-02,Houston,New York,Reefer,1543.2,11377.49,3335.8858828781003,8041.604117121899
TR-042646,2025-09-27,Boston,Phoenix,Dry Van,3183.8,13420.59,5849.500852675225,7571.089147324775
TR-045820,2025-10-18,Atlanta,Baltimore,Dry Van,940.4,9522.01,1983.964811977731,7538.045188022269
TR-039368,2025-09-06,Baton Rouge,Grand Rapids,Dry Van,1103.7,9250.6,2099.6643847806085,7150.935615219392
TR-042992,2025-09-29,Houston,Hartford,Dry Van,1667.1,10119.16,3145.272119175519,6973.887880824481
TR-039480,2025-09-07,Syracuse,Indianapolis,Reefer,829.7,8354.94,1907.9243307466693,6447.015669253331
TR-039460,2025-09-07,Phoenix,Lexington,Dry Van,2217.9,10528.39,4157.780282568555,6370.609717431445
TR-046668,2025-10-23,Albuquerque,Lexington,Dry Van,1643.6,9305.14,3052.9257635007416,6252.214236499258
TR-047821,2025-10-30,Los Angeles,Little Rock,Reefer,1722.4,9939.89,3698.7056229439845,6241.184377056015
TR-043643,2025-10-04,Milwaukee,Baltimore,Dry Van,985.2,8236.26,2048.8859615967835,6187.374038403217
