load_id,date,pickup,delivery,equipment,distance,posted_rate,predicted_rate,absolute_error
TR-040097,2025-09-11,Baltimore,Oklahoma City,Reefer,1760.3,20132.37,3898.4788475417786,16233.89115245822
TR-040172,2025-09-11,Montgomery,Fresno,Dry Van,2283.4,20361.89,4312.8383399127115,16049.051660087287
TR-043540,2025-10-03,Milwaukee,Bakersfield,Dry Van,1893.0,17514.11,3642.573992810305,13871.536007189696
TR-046214,2025-10-20,Columbia,Tucson,Flatbed,2023.4,17893.17,4112.323728406334,13780.846271593664
TR-047299,2025-10-27,Boston,Bakersfield,Reefer,2979.1,19110.3,5951.640719118575,13158.659280881424
TR-040323,2025-09-12,Montgomery,El Paso,Dry Van,1639.9,14949.25,3265.434078368876,11683.815921631125
TR-046517,2025-10-22,Toledo,Albuquerque,Reefer,1684.3,14784.38,3553.5695821707804,11230.81041782922
TR-042882,2025-09-29,San Antonio,Detroit,Dry Van,1460.5,13503.63,2923.488778021796,10580.141221978203
TR-042150,2025-09-24,Grand Rapids,Lubbock,Dry Van,1415.5,13026.22,2822.5524907934,10203.6675092066
TR-046367,2025-10-21,Bakersfield,Columbia,Dry Van,2251.9,14403.14,4323.687106789383,10079.452893210617
TR-044268,2025-10-08,Albany,Albuquerque,Dry Van,2492.6,14425.42,4480.772756643017,9944.647243356983
TR-047537,2025-10-29,Los Angeles,Richmond,Dry Van,2782.4,15003.55,5191.475079205416,9812.074920794585
TR-043303,2025-10-01,Atlanta,Phoenix,Reefer,2083.1,13894.55,4390.999343791493,9503.550656208507
TR-043385,2025-10-02,Lexington,Lubbock,Dry Van,1187.0,11696.44,2286.039779282968,9410.400220717032
TR-042736,2025-09-28,Jacksonville,Tucson,Dry Van,1943.0,12797.54,3482.0802073826762,9315.459792617325
TR-039363,2025-09-06,Tulsa,Bakersfield,Dry Van,1477.7,11684.7,2955.2943087395024,8729.405691260497
TR-047587,2025-10-29,Corpus Christi,Las Vegas,Flatbed,1383.3,11596.28,2926.913400155679,8669.366599844321
TR-044345,2025-10-08,Lexington,Albany,Dry Van,1040.0,10566.25,2105.257759609781,8460.99224039022
TR-040159,2025-09-11,San Francisco,Shreveport,Dry Van,1950.8,12240.81,3836.9163686814272,8403.893631318573
TR-043887,2025-10-05,Shreveport,Baltimore,Reefer,1348.4,11052.72,2895.201526326837,8157.518473673163
TR-038772,2025-09-02,Houston,New York,Reefer,1543.2,11377.49,3400.808696510141,7976.681303489859
TR-042646,2025-09-27,Boston,Phoenix,Dry Van,3183.8,13420.59,5592.184329514084,7828.405670485916
TR-045820,2025-10-18,Atlanta,Baltimore,Dry Van,940.4,9522.01,1861.237323478655,7660.772676521345
TR-039368,2025-09-06,Baton Rouge,Grand Rapids,Dry Van,1103.7,9250.6,2146.3701584013183,7104.2298415986825
TR-042992,2025-09-29,Houston,Hartford,Dry Van,1667.1,10119.16,3120.707197136901,6998.452802863099
TR-039480,2025-09-07,Syracuse,Indianapolis,Reefer,829.7,8354.94,1833.3306714547307,6521.60932854527
TR-039460,2025-09-07,Phoenix,Lexington,Dry Van,2217.9,10528.39,4091.348504116093,6437.0414958839065
TR-043643,2025-10-04,Milwaukee,Baltimore,Dry Van,985.2,8236.26,1910.8325976499018,6325.427402350098
TR-047821,2025-10-30,Los Angeles,Little Rock,Reefer,1722.4,9939.89,3737.0404084783854,6202.849591521614
TR-046668,2025-10-23,Albuquerque,Lexington,Dry Van,1643.6,9305.14,3160.2096577089387,6144.930342291061
