mode,model,trees,mae,rmse,wape,bias,p90_absolute_error,within_250,tuning_mae,segment,rows
full,baseline,0.0,246.0216525042528,711.799751342299,0.10283250856608894,-42.309286319227134,563.4931728000004,0.7126955791242255,,,
full,catboost,277.0,116.16471548267604,634.7430009360451,0.0485547063778993,-56.96342503248287,144.3630726342061,0.9639819384647695,149.83883759720396,,
full,lightgbm,137.0,146.26591037197375,643.3003056767449,0.061136450097589626,-53.362320614062895,215.53072915940774,0.9238685288249501,162.82186869139,,
full,catboost,,111.50804260696653,655.4305279020367,0.04888203618634215,-48.48146024492038,120.05632706808218,0.9740671641791044,,equipment=Dry Van,5360.0
full,catboost,,108.63973651483755,507.0893260718895,0.04452548335207714,-50.80424118324193,164.45942892424566,0.9548022598870056,,equipment=Flatbed,1770.0
full,catboost,,132.16094589925652,671.5112128336765,0.05070278364104037,-80.51757742466481,183.38670996120416,0.9481821980777267,,equipment=Reefer,2393.0
full,catboost,,105.3712915984688,616.1668152403647,0.043788409879709805,-53.84683167773112,130.480568934669,0.9687366167023554,,month=9,4670.0
full,catboost,,126.55113409781053,652.1192910274899,0.05319394757892672,-59.96249590960849,160.84055934899826,0.9594065526478467,,month=10,4853.0
december,baseline,0.0,1148.923725716686,1569.4241791607556,0.48022890531759843,-366.4101690643705,2400.2160000000003,0.145752388953061,,,
december,catboost,96.0,159.65901136597185,647.2062100077678,0.06673451904263095,-31.9413337019559,235.49050243686614,0.908012181035388,181.5254633542196,,
december,lightgbm,110.0,160.83336968445803,644.9118695123581,0.0672253791381394,-35.65853015450641,253.23298013719779,0.896881234904967,170.6347641008293,,
december,lightgbm,,159.61484336485842,663.8551227978758,0.06997072468341302,-14.480646915532873,229.24560176154122,0.9169776119402985,,equipment=Dry Van,5360.0
december,lightgbm,,150.79435601825298,521.0992997220624,0.06180235523270918,-34.93052748293999,279.9302095555093,0.8762711864406779,,equipment=Flatbed,1770.0
december,lightgbm,,170.9881357781634,683.4924021655917,0.06559861080408494,-83.63262914722296,282.8620837004957,0.8671124111993314,,equipment=Reefer,2393.0
december,lightgbm,,156.04350385112335,626.0536392890147,0.06484590633791146,-24.563742624703906,246.41099051108006,0.9029978586723769,,month=9,4670.0
december,lightgbm,,165.442616220966,662.5523926703855,0.0695414222663281,-46.33494840387334,258.96355731972176,0.8909952606635071,,month=10,4853.0
