pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,833.5787147258106
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,848.7843398343005
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,868.0904727066011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,862.3566519420747
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,850.6545117343251
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,840.6714601025394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,831.7284301281095
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,833.4158485813512
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,847.5171686568888
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,867.2588249329408
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,861.5250041684144
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,850.5265440930102
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,840.5434924612246
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,831.2968474758441
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,832.3170332104651
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,846.8517079250573
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,866.5933642011094
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,860.859543436583
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,849.8610833611788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,839.8780317293931
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,830.9350017549632
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,831.9551874895842
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,846.8517079250573
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,866.5933642011094
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,861.2180601507121
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,851.2499071164668
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,841.2668554846812
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,832.3238255102513
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,825.8799480566895
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,841.6075277368316
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,859.6375944846948
